timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-03-17,122.01,122.01,117.89,119.4,117.964328657315,4335198,0.0000,1.0
2023-03-16,120.62,122.87,119.9,122.03,120.562705410822,1911925,0.0000,1.0
2023-03-15,119.94,122.75,119.895,121.77,120.305831663327,1843548,0.0000,1.0
2023-03-14,125.21,126.14,121.05,121.7,120.236673346693,2150885,0.0000,1.0
2023-03-13,126.26,127.57,124.1,124.36,122.864689378758,2016992,0.0000,1.0
2023-03-10,129.12,130.545,127.48,128.04,126.500440881764,1419030,0.0000,1.0
2023-03-09,132.78,133.69,129.75,129.83,128.268917835671,1329980,0.0000,1.0
2023-03-08,133.37,133.54,130.94,132.21,130.620300601202,1446635,0.0000,1.0
2023-03-07,135.31,135.43,133.5,133.69,132.08250501002,1085636,0.0000,1.0
2023-03-06,139.04,139.23,135.11,135.13,133.505190380762,1607293,0.0000,1.0
2023-03-03,139.66,140.255,137.37,138.48,136.814909819639,1907651,0.0000,1.0
2023-03-02,138.18,139.64,137.12,139.21,137.536132264529,1581580,0.0000,1.0
2023-03-01,143.3,143.96,137.0,138.82,137.150821643287,2601573,0.0000,1.0
2023-02-28,145.0,149.17,144.09,144.96,143.216993987976,2934261,0.0000,1.0
2023-02-27,139.14,141.285,138.435,140.63,138.939058116232,2467482,0.0000,1.0
2023-02-24,140.28,140.755,137.93,138.85,137.180460921844,2080299,0.0000,1.0
2023-02-23,143.4,143.98,140.14,142.01,140.30246492986,1597728,0.0000,1.0
2023-02-22,143.95,144.76,142.25,143.62,141.893106212425,1785931,0.0000,1.0
2023-02-21,147.78,148.355,144.03,144.19,142.45625250501,1269982,0.0000,1.0
2023-02-17,150.66,151.3,147.87,149.99,148.186513026052,1279554,0.0000,1.0
2023-02-16,150.16,152.08,148.55,150.19,148.384108216433,1369386,0.0000,1.0
2023-02-15,150.23,151.66,150.23,151.29,149.470881763527,1094239,0.0000,1.0
2023-02-14,151.92,153.14,150.07,150.76,148.947254509018,954521,0.0000,1.0
2023-02-13,149.88,152.21,148.815,152.19,150.36006012024,695574,0.0000,1.0
2023-02-10,151.79,155.005,151.14,151.8,149.974749498998,1115185,0.0000,1.0
2023-02-09,150.51,152.33,148.72,151.91,150.083426853707,1025607,0.0000,1.0
2023-02-08,149.32,151.1,147.68,148.82,147.030581162325,1026085,0.0000,1.0
2023-02-07,151.33,151.68,148.27,151.47,149.64871743487,924810,0.0000,1.0
2023-02-06,151.0,151.74,150.16,151.67,149.846312625251,827237,0.0000,1.0
2023-02-03,153.28,155.72,151.8,152.17,150.340300601202,580789,0.0000,1.0
2023-02-02,157.0,158.22,155.17,155.24,153.373386773547,737030,0.0000,1.0
2023-02-01,151.94,157.73,150.15,156.84,154.954148296593,1010650,0.0000,1.0
2023-01-31,151.18,152.85,150.24,152.28,150.448977955912,1841640,0.0000,1.0
2023-01-30,147.68,152.01,147.68,149.88,148.077835671343,961637,0.0000,1.0
2023-01-27,147.46,147.6425,144.195,147.44,145.667174348697,1199571,0.0000,1.0
2023-01-26,150.24,150.99,147.39,147.62,145.84501002004,642139,0.0000,1.0
2023-01-25,146.48,149.12,143.22,149.11,147.317094188377,1073965,0.0000,1.0
2023-01-24,149.14,151.91,147.11,147.27,145.499218436874,851939,0.0000,1.0
2023-01-23,148.3,149.385,146.855,148.62,146.832985971944,807312,0.0000,1.0
2023-01-20,143.56,147.55,142.86,147.49,145.716573146293,950709,0.0000,1.0
2023-01-19,146.0,146.215,143.15,143.27,141.547314629259,882119,0.0000,1.0
2023-01-18,150.0,150.97,146.85,146.98,145.212705410822,654067,0.0000,1.0
2023-01-17,150.22,151.0,147.99,149.21,147.415891783567,828824,0.0000,1.0
2023-01-13,150.35,152.0,149.75,151.03,149.214008016032,832681,0.0000,1.0
2023-01-12,152.92,153.34,148.9,152.19,150.36006012024,997536,0.0000,1.0
2023-01-11,152.68,154.87,152.66,153.28,151.436953907816,590302,0.0000,1.0
