ticker,name,is_etf,exchange
"SIF","SIFCO Industries, Inc.","null","AMEX"
"SILV","SilverCrest Metals Inc.","null","AMEX"
"SIM","Grupo Simec, S.A. de C.V.","null","AMEX"
"SMTS","Sierra Metals Inc.","null","AMEX"
"SNMP","Sanchez Midstream Partners LP","null","AMEX"
"SRCI","SRC Energy Inc.","null","AMEX"
"SSY","SunLink Health Systems, Inc.","null","AMEX"
"STXS","Stereotaxis, Inc.","null","AMEX"
"SVM","Silvercorp Metals Inc.","null","AMEX"
"SVT","Servotronics, Inc.","null","AMEX"
"SYN","Synthetic Biologics, Inc","null","AMEX"
"TALO.WS","Talos Energy, Inc.","null","AMEX"
"TAT","Transatlantic Petroleum Ltd","null","AMEX"
"TDW.WS","Tidewater Inc.","null","AMEX"
"TGB","Taseko Mines Limited","null","AMEX"
"TGC","Tengasco, Inc.","null","AMEX"
"THM","International Tower Hill Mines Ltd","null","AMEX"
"TKAT","Takung Art Co., Ltd.","null","AMEX"
"TMP","Tompkins Financial Corporation","null","AMEX"
"TMQ","Trilogy Metals Inc.","null","AMEX"
"TPHS","Trinity Place Holdings Inc.","null","AMEX"
"TRT","Trio-Tech International","null","AMEX"
"TRX","Tanzanian Gold Corporation","null","AMEX"
"TRXC","TransEnterix, Inc.","null","AMEX"
"UAMY","United States Antimony Corporation","null","AMEX"
"UAVS","AgEagle Aerial Systems, Inc.","null","AMEX"
"UEC","Uranium Energy Corp.","null","AMEX"
"UFAB","Unique Fabricating, Inc.","null","AMEX"
"URG","Ur Energy Inc","null","AMEX"
"USAS","Americas Gold and Silver Corporation","null","AMEX"
"UTG","Reaves Utility Income Fund","null","AMEX"
"UUU","Universal Security Instruments, Inc.","null","AMEX"
"UUUU","Energy Fuels Inc","null","AMEX"
"UUUU.WS","Energy Fuels Inc","null","AMEX"
"VCF","Delaware Investments Colorado Municipal Income Fund, Inc","null","AMEX"
"VFL","Delaware Investments Florida Insured Municipal Income Fund","null","AMEX"
"VGZ","Vista Gold Corporation","null","AMEX"
